50,20,221,45,217,73,46,48,DAIHATSU
38,50,127,62,125,82,36,70,TYPE
238,50,333,63,329,88,234,75,MOTOR
140,63,483,106,480,128,137,85,DBA-LA300S-G8F
346,68,381,68,381,92,346,92,CQ
32,77,98,84,96,100,30,93,CHASSIS
410,75,460,78,458,102,408,98,472
389,86,397,86,397,94,389,94,p
103,87,122,87,122,103,103,103,NO.
461,87,537,96,535,111,459,103,J4P4
139,87,450,121,448,143,137,109,LA300S-1097286
45,101,127,112,125,125,43,115,ENGINE
138,110,277,123,275,142,136,130,KF-VE3
133,131,224,140,223,154,132,145,COLOR
344,132,427,139,426,155,343,148,6580
232,140,292,144,291,160,231,156,WO9
313,149,447,157,446,174,312,165,TR1MFC70
268,161,318,165,317,176,267,172,ENGINE
323,167,341,167,341,177,323,177,/A2
